row_id,aspect,declared_sentiment,supported,sentiment_match,note
0,workload,positive,True,True,"The review mentions the workload 'pushed me to stay on top of things', indicating a positive sentiment."
0,organization,positive,True,True,The review states the organization was 'solid enough' and allowed reliance on weekly modules and clear deadlines.
1,prerequisite_fit,neutral,False,False,"The review discusses the course timing and content, but not the prerequisites."
2,prerequisite_fit,negative,True,True,Mention of being 'new to the discipline and a bit unsure about the prerequisites' supports the negative sentiment.
2,grading_transparency,negative,True,True,Mention of 'instructions for assignments left a lot open to interpretation' and 'few assessments felt high-stakes' supports the negative sentiment.
3,relevance,negative,True,False,"The review mentions the course leaves a practical sense of structuring problems, indicating some relevance."
3,practical_application,neutral,True,False,"The review expresses frustration with the lack of concrete, reusable examples, but also mentions a 'practical sense of how to structure problems', indicating a more positive sentiment towards practical application than declared."
4,prerequisite_fit,positive,True,False,"The review states the prerequisite 'starts accessible but ramps up sharply', which implies a mixed or negative experience, not a positive one."
4,exam_fairness,negative,True,False,"The review states the exams 'felt fair in content', which implies a positive experience, but the declared label is negative."
5,interest,negative,True,False,"The review expresses initial curiosity and a desire to learn, but also frustration and confusion, which doesn't entirely match a purely negative sentiment."
6,assessment_design,positive,True,True,The review states the assessment design was 'fair and mostly spot on'.
6,relevance,neutral,False,False,The review does not explicitly discuss the relevance of the course.
7,interest,positive,True,True,The review mentions that 'the concepts clicked' indicating a positive interest in the course content.
7,prerequisite_fit,neutral,False,False,The review does not mention anything related to whether the prerequisites fit or were appropriate for the course.
8,workload,neutral,True,False,"The review mentions a 'heavy' workload and 'frequent deadlines', indicating a negative sentiment."
8,tooling_usability,positive,True,False,"The review mentions 'platform quirks' and 'extra stress', indicating a negative sentiment."
9,practical_application,negative,True,True,"The review mentions the 'practical payoff didn’t land as cleanly as I hoped', indicating a negative sentiment towards the practical application."
10,grading_transparency,neutral,True,False,"The review expresses concern about grading being 'opaque', which indicates a negative sentiment."
11,practical_application,positive,True,True,reviewer found applying vector spaces to real problems 'really useful'
11,lecturer_quality,positive,False,False,reviewer mentions the lecturer by name but does not explicitly evaluate their quality
11,exam_fairness,negative,False,False,"reviewer mentions assessments and pace, but does not explicitly discuss exam fairness"
12,overall_experience,negative,True,False,review mentions challenges but also clear lectures and helpful peer discussions
12,assessment_design,positive,False,False,"review mentions grading quirks, which implies issues with assessment design"
13,organization,neutral,True,True,"The review mentions the course fit the student's study blocks, implying effective organization."
13,support,negative,True,False,"The review states peer chats helped, but official readings and late feedback were issues, not entirely negative support."
13,workload,positive,True,True,"The review describes the workload as 'doable', matching the positive sentiment."
14,exam_fairness,positive,True,True,exams felt fair
14,materials,neutral,True,False,"software stack started rough but got manageable, which is more positive than neutral"
