approach,gold_missed,broad_wrong_predicted,count
openai-gpt-5.2-few-shot,difficulty,tooling_usability,50
openai-gpt-5.2-few-shot,overall_experience,tooling_usability,45
openai-gpt-5.2-few-shot,relevance,tooling_usability,42
openai-gpt-5.2-few-shot,overall_experience,feedback_quality,42
openai-gpt-5.2-few-shot,accessibility,tooling_usability,39
openai-gpt-5.2-few-shot,peer_interaction,tooling_usability,39
openai-gpt-5.2-few-shot,practical_application,tooling_usability,39
openai-gpt-5.2-few-shot,difficulty,feedback_quality,37
openai-gpt-5.2-few-shot,materials,tooling_usability,37
openai-gpt-5.2-few-shot,support,feedback_quality,36
openai-gpt-5.2-few-shot,relevance,feedback_quality,36
openai-gpt-5.2-few-shot,prerequisite_fit,feedback_quality,36
openai-gpt-5.2-few-shot,lecturer_quality,feedback_quality,33
openai-gpt-5.2-few-shot,interest,feedback_quality,32
openai-gpt-5.2-few-shot,accessibility,feedback_quality,32
openai-gpt-5.2-few-shot,support,tooling_usability,32
openai-gpt-5.2-few-shot,prerequisite_fit,tooling_usability,31
openai-gpt-5.2-few-shot,lecturer_quality,tooling_usability,31
openai-gpt-5.2-few-shot,organization,tooling_usability,30
openai-gpt-5.2-few-shot,organization,feedback_quality,29
openai-gpt-5.2-few-shot,interest,tooling_usability,29
openai-gpt-5.2-few-shot,assessment_design,feedback_quality,29
openai-gpt-5.2-few-shot,exam_fairness,feedback_quality,28
openai-gpt-5.2-few-shot,practical_application,feedback_quality,28
openai-gpt-5.2-few-shot,clarity,feedback_quality,27
openai-gpt-5.2-few-shot,interest,support,26
openai-gpt-5.2-few-shot,exam_fairness,tooling_usability,25
openai-gpt-5.2-few-shot,overall_experience,support,25
openai-gpt-5.2-few-shot,clarity,tooling_usability,25
openai-gpt-5.2-few-shot,workload,tooling_usability,24
openai-gpt-5.2-few-shot,relevance,support,23
openai-gpt-5.2-few-shot,clarity,support,23
openai-gpt-5.2-few-shot,accessibility,support,23
openai-gpt-5.2-few-shot,feedback_quality,tooling_usability,23
openai-gpt-5.2-few-shot,materials,feedback_quality,23
openai-gpt-5.2-few-shot,grading_transparency,feedback_quality,23
openai-gpt-5.2-few-shot,assessment_design,tooling_usability,23
openai-gpt-5.2-few-shot,peer_interaction,support,23
openai-gpt-5.2-few-shot,organization,support,23
openai-gpt-5.2-few-shot,workload,feedback_quality,21
openai-gpt-5.2-few-shot,tooling_usability,feedback_quality,20
openai-gpt-5.2-few-shot,difficulty,support,20
openai-gpt-5.2-few-shot,practical_application,support,20
openai-gpt-5.2-few-shot,grading_transparency,tooling_usability,19
openai-gpt-5.2-few-shot,lecturer_quality,support,18
openai-gpt-5.2-few-shot,prerequisite_fit,support,18
openai-gpt-5.2-few-shot,peer_interaction,feedback_quality,17
openai-gpt-5.2-few-shot,feedback_quality,support,16
openai-gpt-5.2-few-shot,materials,support,15
openai-gpt-5.2-few-shot,exam_fairness,support,15
openai-gpt-5.2-few-shot,pacing,feedback_quality,13
openai-gpt-5.2-few-shot,workload,support,11
openai-gpt-5.2-few-shot,assessment_design,support,11
openai-gpt-5.2-few-shot,grading_transparency,support,10
openai-gpt-5.2-few-shot,tooling_usability,support,10
openai-gpt-5.2-few-shot,pacing,tooling_usability,9
openai-gpt-5.2-few-shot,pacing,support,5
openai-gpt-5.2-few-shot,accessibility,interest,2
openai-gpt-5.2-few-shot,support,overall_experience,2
openai-gpt-5.2-few-shot,assessment_design,overall_experience,2
openai-gpt-5.2-few-shot,accessibility,overall_experience,2
openai-gpt-5.2-few-shot,assessment_design,interest,2
openai-gpt-5.2-few-shot,difficulty,interest,2
openai-gpt-5.2-few-shot,interest,overall_experience,2
openai-gpt-5.2-few-shot,tooling_usability,overall_experience,2
openai-gpt-5.2-few-shot,peer_interaction,interest,1
openai-gpt-5.2-few-shot,exam_fairness,overall_experience,1
openai-gpt-5.2-few-shot,lecturer_quality,overall_experience,1
openai-gpt-5.2-few-shot,organization,overall_experience,1
openai-gpt-5.2-few-shot,lecturer_quality,interest,1
openai-gpt-5.2-few-shot,exam_fairness,interest,1
openai-gpt-5.2-few-shot-diverse,difficulty,tooling_usability,47
openai-gpt-5.2-few-shot-diverse,overall_experience,tooling_usability,46
openai-gpt-5.2-few-shot-diverse,relevance,tooling_usability,45
openai-gpt-5.2-few-shot-diverse,peer_interaction,tooling_usability,43
openai-gpt-5.2-few-shot-diverse,accessibility,tooling_usability,41
openai-gpt-5.2-few-shot-diverse,overall_experience,feedback_quality,41
openai-gpt-5.2-few-shot-diverse,lecturer_quality,tooling_usability,40
openai-gpt-5.2-few-shot-diverse,relevance,feedback_quality,39
openai-gpt-5.2-few-shot-diverse,materials,tooling_usability,39
