approach,gold_missed,wrong_predicted,count,wrong_is_broad_label
openai-gpt-5.2-few-shot,difficulty,tooling_usability,50,True
openai-gpt-5.2-few-shot,overall_experience,tooling_usability,45,True
openai-gpt-5.2-few-shot,relevance,tooling_usability,42,True
openai-gpt-5.2-few-shot,overall_experience,feedback_quality,42,True
openai-gpt-5.2-few-shot,accessibility,tooling_usability,39,True
openai-gpt-5.2-few-shot,peer_interaction,tooling_usability,39,True
openai-gpt-5.2-few-shot,practical_application,tooling_usability,39,True
openai-gpt-5.2-few-shot,overall_experience,pacing,38,False
openai-gpt-5.2-few-shot,difficulty,feedback_quality,37,True
openai-gpt-5.2-few-shot,materials,tooling_usability,37,True
openai-gpt-5.2-few-shot,support,feedback_quality,36,True
openai-gpt-5.2-few-shot,relevance,feedback_quality,36,True
openai-gpt-5.2-few-shot,prerequisite_fit,feedback_quality,36,True
openai-gpt-5.2-few-shot,lecturer_quality,feedback_quality,33,True
openai-gpt-5.2-few-shot,interest,feedback_quality,32,True
openai-gpt-5.2-few-shot,accessibility,feedback_quality,32,True
openai-gpt-5.2-few-shot,support,tooling_usability,32,True
openai-gpt-5.2-few-shot,prerequisite_fit,tooling_usability,31,True
openai-gpt-5.2-few-shot,lecturer_quality,tooling_usability,31,True
openai-gpt-5.2-few-shot,organization,tooling_usability,30,True
openai-gpt-5.2-few-shot,interest,pacing,30,False
openai-gpt-5.2-few-shot,organization,feedback_quality,29,True
openai-gpt-5.2-few-shot,interest,tooling_usability,29,True
openai-gpt-5.2-few-shot,relevance,pacing,29,False
openai-gpt-5.2-few-shot,prerequisite_fit,pacing,29,False
openai-gpt-5.2-few-shot,assessment_design,feedback_quality,29,True
openai-gpt-5.2-few-shot,exam_fairness,feedback_quality,28,True
openai-gpt-5.2-few-shot,practical_application,feedback_quality,28,True
openai-gpt-5.2-few-shot,organization,pacing,27,False
openai-gpt-5.2-few-shot,clarity,feedback_quality,27,True
openai-gpt-5.2-few-shot,practical_application,pacing,27,False
openai-gpt-5.2-few-shot,relevance,workload,26,False
openai-gpt-5.2-few-shot,interest,support,26,True
openai-gpt-5.2-few-shot,exam_fairness,tooling_usability,25,True
openai-gpt-5.2-few-shot,overall_experience,support,25,True
openai-gpt-5.2-few-shot,clarity,tooling_usability,25,True
openai-gpt-5.2-few-shot,workload,tooling_usability,24,True
openai-gpt-5.2-few-shot,overall_experience,grading_transparency,24,False
openai-gpt-5.2-few-shot,lecturer_quality,pacing,23,False
openai-gpt-5.2-few-shot,overall_experience,workload,23,False
openai-gpt-5.2-few-shot,relevance,support,23,True
openai-gpt-5.2-few-shot,clarity,support,23,True
openai-gpt-5.2-few-shot,accessibility,support,23,True
openai-gpt-5.2-few-shot,feedback_quality,tooling_usability,23,True
openai-gpt-5.2-few-shot,materials,feedback_quality,23,True
openai-gpt-5.2-few-shot,grading_transparency,feedback_quality,23,True
openai-gpt-5.2-few-shot,assessment_design,tooling_usability,23,True
openai-gpt-5.2-few-shot,peer_interaction,support,23,True
openai-gpt-5.2-few-shot,organization,support,23,True
openai-gpt-5.2-few-shot,practical_application,workload,22,False
openai-gpt-5.2-few-shot,workload,feedback_quality,21,True
openai-gpt-5.2-few-shot,overall_experience,clarity,21,False
openai-gpt-5.2-few-shot,interest,workload,21,False
openai-gpt-5.2-few-shot,peer_interaction,pacing,21,False
openai-gpt-5.2-few-shot,tooling_usability,feedback_quality,20,True
openai-gpt-5.2-few-shot,clarity,pacing,20,False
openai-gpt-5.2-few-shot,workload,pacing,20,False
openai-gpt-5.2-few-shot,difficulty,support,20,True
openai-gpt-5.2-few-shot,practical_application,support,20,True
openai-gpt-5.2-few-shot,difficulty,grading_transparency,20,False
openai-gpt-5.2-few-shot,support,pacing,20,False
openai-gpt-5.2-few-shot,difficulty,pacing,20,False
openai-gpt-5.2-few-shot,overall_experience,peer_interaction,19,False
openai-gpt-5.2-few-shot,support,clarity,19,False
openai-gpt-5.2-few-shot,prerequisite_fit,workload,19,False
openai-gpt-5.2-few-shot,grading_transparency,tooling_usability,19,True
openai-gpt-5.2-few-shot,accessibility,clarity,18,False
openai-gpt-5.2-few-shot,lecturer_quality,support,18,True
openai-gpt-5.2-few-shot,assessment_design,grading_transparency,18,False
openai-gpt-5.2-few-shot,interest,peer_interaction,18,False
openai-gpt-5.2-few-shot,assessment_design,pacing,18,False
openai-gpt-5.2-few-shot,organization,workload,18,False
openai-gpt-5.2-few-shot,prerequisite_fit,support,18,True
openai-gpt-5.2-few-shot,assessment_design,workload,17,False
openai-gpt-5.2-few-shot,materials,workload,17,False
openai-gpt-5.2-few-shot,lecturer_quality,workload,17,False
openai-gpt-5.2-few-shot,relevance,clarity,17,False
openai-gpt-5.2-few-shot,accessibility,pacing,17,False
openai-gpt-5.2-few-shot,grading_transparency,workload,17,False
openai-gpt-5.2-few-shot,materials,grading_transparency,17,False
openai-gpt-5.2-few-shot,peer_interaction,feedback_quality,17,True
openai-gpt-5.2-few-shot,grading_transparency,pacing,17,False
openai-gpt-5.2-few-shot,prerequisite_fit,clarity,16,False
openai-gpt-5.2-few-shot,assessment_design,peer_interaction,16,False
openai-gpt-5.2-few-shot,feedback_quality,support,16,True
openai-gpt-5.2-few-shot,interest,clarity,16,False
openai-gpt-5.2-few-shot,accessibility,workload,16,False
openai-gpt-5.2-few-shot,lecturer_quality,grading_transparency,16,False
openai-gpt-5.2-few-shot,relevance,materials,16,False
openai-gpt-5.2-few-shot,relevance,peer_interaction,16,False
openai-gpt-5.2-few-shot,exam_fairness,workload,16,False
openai-gpt-5.2-few-shot,peer_interaction,workload,16,False
openai-gpt-5.2-few-shot,exam_fairness,pacing,16,False
openai-gpt-5.2-few-shot,organization,grading_transparency,15,False
openai-gpt-5.2-few-shot,feedback_quality,pacing,15,False
openai-gpt-5.2-few-shot,support,peer_interaction,15,False
openai-gpt-5.2-few-shot,materials,support,15,True
openai-gpt-5.2-few-shot,peer_interaction,grading_transparency,15,False
openai-gpt-5.2-few-shot,exam_fairness,support,15,True
openai-gpt-5.2-few-shot,relevance,grading_transparency,15,False
openai-gpt-5.2-few-shot,exam_fairness,clarity,14,False
openai-gpt-5.2-few-shot,overall_experience,materials,14,False
openai-gpt-5.2-few-shot,clarity,grading_transparency,14,False
openai-gpt-5.2-few-shot,support,grading_transparency,14,False
openai-gpt-5.2-few-shot,feedback_quality,workload,14,False
openai-gpt-5.2-few-shot,overall_experience,assessment_design,14,False
openai-gpt-5.2-few-shot,materials,clarity,14,False
openai-gpt-5.2-few-shot,lecturer_quality,clarity,14,False
openai-gpt-5.2-few-shot,difficulty,workload,14,False
openai-gpt-5.2-few-shot,grading_transparency,peer_interaction,14,False
openai-gpt-5.2-few-shot,interest,grading_transparency,14,False
