custom_id,dataset,row_idx,variant,gt_faithful,labels,n_aspects
v7_herath_2042_faithful,herath,2042,faithful,True,"{""materials"": ""positive"", ""lecturer_quality"": ""neutral""}",2
v7_herath_2042_flip,herath,2042,flip,False,"{""materials"": ""negative"", ""lecturer_quality"": ""negative""}",2
v7_herath_2042_inject,herath,2042,inject,False,"{""materials"": ""positive"", ""lecturer_quality"": ""neutral"", ""organization"": ""positive""}",3
v7_herath_2065_faithful,herath,2065,faithful,True,"{""lecturer_quality"": ""positive"", ""organization"": ""positive""}",2
v7_herath_2065_flip,herath,2065,flip,False,"{""lecturer_quality"": ""negative"", ""organization"": ""negative""}",2
v7_herath_2065_inject,herath,2065,inject,False,"{""lecturer_quality"": ""positive"", ""organization"": ""positive"", ""overall_experience"": ""positive""}",3
v7_herath_1176_faithful,herath,1176,faithful,True,"{""lecturer_quality"": ""positive"", ""overall_experience"": ""positive"", ""assessment_design"": ""positive"", ""exam_fairness"": ""positive""}",4
v7_herath_1176_flip,herath,1176,flip,False,"{""lecturer_quality"": ""negative"", ""overall_experience"": ""negative"", ""assessment_design"": ""negative"", ""exam_fairness"": ""negative""}",4
v7_herath_1176_inject,herath,1176,inject,False,"{""lecturer_quality"": ""positive"", ""overall_experience"": ""positive"", ""assessment_design"": ""positive"", ""exam_fairness"": ""positive"", ""accessibility"": ""positive""}",5
v7_herath_1066_faithful,herath,1066,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_1066_flip,herath,1066,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_1066_inject,herath,1066,inject,False,"{""lecturer_quality"": ""positive"", ""overall_experience"": ""negative""}",2
v7_herath_1431_faithful,herath,1431,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_1431_flip,herath,1431,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_1431_inject,herath,1431,inject,False,"{""lecturer_quality"": ""positive"", ""exam_fairness"": ""negative""}",2
v7_herath_854_faithful,herath,854,faithful,True,"{""overall_experience"": ""positive"", ""lecturer_quality"": ""positive""}",2
v7_herath_854_flip,herath,854,flip,False,"{""overall_experience"": ""negative"", ""lecturer_quality"": ""negative""}",2
v7_herath_854_inject,herath,854,inject,False,"{""overall_experience"": ""positive"", ""lecturer_quality"": ""positive"", ""exam_fairness"": ""positive""}",3
v7_herath_1289_faithful,herath,1289,faithful,True,"{""lecturer_quality"": ""neutral""}",1
v7_herath_1289_flip,herath,1289,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_1289_inject,herath,1289,inject,False,"{""lecturer_quality"": ""neutral"", ""overall_experience"": ""positive""}",2
v7_herath_1959_faithful,herath,1959,faithful,True,"{""organization"": ""positive"", ""assessment_design"": ""positive"", ""overall_experience"": ""positive"", ""lecturer_quality"": ""positive""}",4
v7_herath_1959_flip,herath,1959,flip,False,"{""organization"": ""negative"", ""assessment_design"": ""negative"", ""overall_experience"": ""negative"", ""lecturer_quality"": ""negative""}",4
v7_herath_1959_inject,herath,1959,inject,False,"{""organization"": ""positive"", ""assessment_design"": ""positive"", ""overall_experience"": ""positive"", ""lecturer_quality"": ""positive"", ""materials"": ""positive""}",5
v7_herath_560_faithful,herath,560,faithful,True,"{""assessment_design"": ""negative"", ""lecturer_quality"": ""negative"", ""overall_experience"": ""negative""}",3
v7_herath_560_flip,herath,560,flip,False,"{""assessment_design"": ""positive"", ""lecturer_quality"": ""positive"", ""overall_experience"": ""positive""}",3
v7_herath_560_inject,herath,560,inject,False,"{""assessment_design"": ""negative"", ""lecturer_quality"": ""negative"", ""overall_experience"": ""negative"", ""grading_transparency"": ""negative""}",4
v7_herath_36_faithful,herath,36,faithful,True,"{""assessment_design"": ""positive""}",1
v7_herath_36_flip,herath,36,flip,False,"{""assessment_design"": ""negative""}",1
v7_herath_36_inject,herath,36,inject,False,"{""assessment_design"": ""positive"", ""workload"": ""negative""}",2
v7_herath_2534_faithful,herath,2534,faithful,True,"{""assessment_design"": ""positive""}",1
v7_herath_2534_flip,herath,2534,flip,False,"{""assessment_design"": ""negative""}",1
v7_herath_2534_inject,herath,2534,inject,False,"{""assessment_design"": ""positive"", ""grading_transparency"": ""negative""}",2
v7_herath_2380_faithful,herath,2380,faithful,True,"{""materials"": ""neutral""}",1
v7_herath_2380_flip,herath,2380,flip,False,"{""materials"": ""negative""}",1
v7_herath_2380_inject,herath,2380,inject,False,"{""materials"": ""neutral"", ""exam_fairness"": ""negative""}",2
v7_herath_737_faithful,herath,737,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_737_flip,herath,737,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_737_inject,herath,737,inject,False,"{""lecturer_quality"": ""positive"", ""workload"": ""positive""}",2
v7_herath_2687_faithful,herath,2687,faithful,True,"{""materials"": ""neutral""}",1
v7_herath_2687_flip,herath,2687,flip,False,"{""materials"": ""negative""}",1
v7_herath_2687_inject,herath,2687,inject,False,"{""materials"": ""neutral"", ""accessibility"": ""positive""}",2
v7_herath_1719_faithful,herath,1719,faithful,True,"{""overall_experience"": ""positive"", ""lecturer_quality"": ""positive"", ""materials"": ""positive""}",3
v7_herath_1719_flip,herath,1719,flip,False,"{""overall_experience"": ""negative"", ""lecturer_quality"": ""negative"", ""materials"": ""negative""}",3
v7_herath_1719_inject,herath,1719,inject,False,"{""overall_experience"": ""positive"", ""lecturer_quality"": ""positive"", ""materials"": ""positive"", ""accessibility"": ""positive""}",4
v7_herath_1678_faithful,herath,1678,faithful,True,"{""lecturer_quality"": ""positive"", ""overall_experience"": ""positive""}",2
v7_herath_1678_flip,herath,1678,flip,False,"{""lecturer_quality"": ""negative"", ""overall_experience"": ""negative""}",2
v7_herath_1678_inject,herath,1678,inject,False,"{""lecturer_quality"": ""positive"", ""overall_experience"": ""positive"", ""workload"": ""positive""}",3
v7_herath_391_faithful,herath,391,faithful,True,"{""lecturer_quality"": ""negative"", ""exam_fairness"": ""neutral""}",2
v7_herath_391_flip,herath,391,flip,False,"{""lecturer_quality"": ""positive"", ""exam_fairness"": ""negative""}",2
v7_herath_391_inject,herath,391,inject,False,"{""lecturer_quality"": ""negative"", ""exam_fairness"": ""neutral"", ""materials"": ""positive""}",3
v7_herath_470_faithful,herath,470,faithful,True,"{""exam_fairness"": ""neutral"", ""lecturer_quality"": ""neutral""}",2
v7_herath_470_flip,herath,470,flip,False,"{""exam_fairness"": ""negative"", ""lecturer_quality"": ""negative""}",2
v7_herath_470_inject,herath,470,inject,False,"{""exam_fairness"": ""neutral"", ""lecturer_quality"": ""neutral"", ""workload"": ""positive""}",3
v7_herath_10_faithful,herath,10,faithful,True,"{""overall_experience"": ""positive""}",1
v7_herath_10_flip,herath,10,flip,False,"{""overall_experience"": ""negative""}",1
v7_herath_10_inject,herath,10,inject,False,"{""overall_experience"": ""positive"", ""assessment_design"": ""positive""}",2
v7_herath_1534_faithful,herath,1534,faithful,True,"{""lecturer_quality"": ""positive"", ""overall_experience"": ""neutral""}",2
v7_herath_1534_flip,herath,1534,flip,False,"{""lecturer_quality"": ""negative"", ""overall_experience"": ""negative""}",2
v7_herath_1534_inject,herath,1534,inject,False,"{""lecturer_quality"": ""positive"", ""overall_experience"": ""neutral"", ""accessibility"": ""positive""}",3
v7_herath_27_faithful,herath,27,faithful,True,"{""organization"": ""positive""}",1
v7_herath_27_flip,herath,27,flip,False,"{""organization"": ""negative""}",1
v7_herath_27_inject,herath,27,inject,False,"{""organization"": ""positive"", ""workload"": ""positive""}",2
v7_herath_773_faithful,herath,773,faithful,True,"{""overall_experience"": ""negative""}",1
v7_herath_773_flip,herath,773,flip,False,"{""overall_experience"": ""positive""}",1
v7_herath_773_inject,herath,773,inject,False,"{""overall_experience"": ""negative"", ""accessibility"": ""negative""}",2
v7_herath_364_faithful,herath,364,faithful,True,"{""lecturer_quality"": ""negative""}",1
v7_herath_364_flip,herath,364,flip,False,"{""lecturer_quality"": ""positive""}",1
v7_herath_364_inject,herath,364,inject,False,"{""lecturer_quality"": ""negative"", ""workload"": ""negative""}",2
v7_herath_1676_faithful,herath,1676,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_1676_flip,herath,1676,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_1676_inject,herath,1676,inject,False,"{""lecturer_quality"": ""positive"", ""accessibility"": ""positive""}",2
v7_herath_1569_faithful,herath,1569,faithful,True,"{""lecturer_quality"": ""negative""}",1
v7_herath_1569_flip,herath,1569,flip,False,"{""lecturer_quality"": ""positive""}",1
v7_herath_1569_inject,herath,1569,inject,False,"{""lecturer_quality"": ""negative"", ""accessibility"": ""negative""}",2
v7_herath_1324_faithful,herath,1324,faithful,True,"{""lecturer_quality"": ""positive"", ""exam_fairness"": ""neutral"", ""overall_experience"": ""negative""}",3
v7_herath_1324_flip,herath,1324,flip,False,"{""lecturer_quality"": ""negative"", ""exam_fairness"": ""negative"", ""overall_experience"": ""positive""}",3
