approach,run_dir,custom_id,response_status,raw_response_text
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_178,,"{""aspects"":[{""aspect"":""tooling_usability"",""sentiment"":""negative""},{"""
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_182,,"{""aspects"":[{""aspect"":""lecturer_quality"",""sentiment"":""positive""},{""aspect"":""support"",""sentiment"":""negative""},{""aspect"":""feedback_quality"",""sentiment"":""negative""}"
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_196,,"{""aspects"":[{""aspect"":""workload"",""sentiment"":""negative""},{""aspect"":""peer_interaction"",""sentiment"":""positive"
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_220,,"{""aspects"":[{""aspect"":""tooling_usability"",""sentiment"":""neutral""},{""aspect"":""pacing"",""sentiment"":""negative""},{""aspect"":""workload"",""sentiment"":""negative"
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_236,,"{""aspects"":[{""aspect"":""lecturer_quality"",""sentiment"":""positive"
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_321,,"{""aspects"":[{""aspect"":""work"
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_356,,"{""aspects"":[{""aspect"":""clarity"",""sentiment"":""negative""},{""aspect"":""prerequisite_fit"","""
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_388,,
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_390,,"{""aspects"":[{""aspect"":""tool"
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_430,,"{""aspects"":[{""aspect"":""accessibility"",""sentiment"":""positive""},{""aspect"":""grading_transparency"",""sentiment"":""negative""},{""aspect"
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_483,,"{""aspects"":[{""aspect"":""pacing"",""sentiment"":""positive""},{""aspect"":""tooling_usability"",""sentiment"":""negative""},{""aspect"":""practical_application"",""sentiment"":""positive""}"
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_502,,"{""aspects"":[{""aspect"":""pacing"
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_545,,"{""aspects"":["
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_556,,
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_585,,"{""as"
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_626,,"{""aspects"":["
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_636,,"{""aspects"":[{""aspect"":""clarity"",""sentiment"":""negative"
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_639,,"{""aspects"":[{""aspect"":""interest"",""sentiment"":""positive""},{""aspect"":""clarity"",""sentiment"":""negative""},{""aspect"":""tooling_usability"",""sent"
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_677,,"{""aspects"":[{""aspect"":""exam_fairness"",""sentiment"":""positive""},{""aspect"":""grading_transparency"
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_716,,
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_724,,"{""aspects"":[{""aspect"":""clarity"
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_796,,"{""aspects"":[{""aspect"":""lecturer_quality"",""sentiment"":""positive""},{""aspect"":""tooling_usability"",""sentiment"":""negative""},{""aspect"":""practical_application"",""sentiment"":"""
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_857,,"{""aspects"":[{""aspect"":""assessment_design"",""sentiment"":""positive""},{"""
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_885,,"{"""
openai-gpt-5.4-zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,gpt-5_4__zero-shot__test_892,,"{""aspects"":[{""aspect"":""clarity"",""sentiment"":""negative""},{""aspect"":""materials"",""sentiment"":""negative""},{""aspect"":""tooling_us"
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_60,,
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_65,,"{""aspects"":[{""aspect"":""clarity"",""sentiment"":""positive""},{""aspect"":""grading_transparency"",""sentiment"
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_151,,
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_155,,
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_166,,"{""aspects"":[{""aspect"":""tooling_usability"",""sentiment"":""positive""},{""aspect"":""lecturer_quality"",""sentiment"":"""
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_177,,"{""aspects"":[{""aspect"":""tooling_usability"
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_179,,"{""aspects"":[{""aspect"":""tooling"
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_185,,
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_223,,"{""aspects"":[{""aspect"":""lecturer_quality"",""sentiment"":""positive""},{""aspect"":""workload"",""sentiment"":"""
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_236,,
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_255,,"{""aspects"":[{""aspect"":""tooling_usability"",""sentiment"":""negative""},{""aspect"":""support"",""sentiment"":""negative""},{""aspect"":""feedback"
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_301,,"{""aspects"":[{""aspect"":""clarity"",""sentiment"":""negative""},{""aspect"":""feedback_quality"",""sentiment"":""negative""},{""aspect"":""workload"",""sentiment"":"""
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_327,,"{""aspects"":[{""aspect"":""pacing"",""sentiment"":""negative""},{""aspect"":""feedback_quality"","""
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_412,,"{""aspects"":[{""aspect"":""relevance"",""sentiment"":""positive""},{""aspect"":""tooling_usability"",""sentiment"":"""
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_439,,
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_454,,"{""aspects"":[{""aspect"":""pacing"",""sentiment"":""negative""},{""aspect"
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_457,,"{""aspects"":[{""aspect"":""workload"",""sentiment"":""negative""},{""aspect"":""grading_transparency"",""sentiment"":""negative""},{""aspect"":""assessment_design"",""sentiment"":""negative"
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_477,,"{""aspects"":[{""aspect"":""workload"",""sentiment"":""positive""},{""aspect"":""clarity"",""sentiment"":""negative""},{""aspect"":""prerequisite"
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_513,,
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_521,,"{""aspects"":[{""aspect"":""feedback_quality"",""sentiment"":""negative""},{"""
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_539,,"{""aspects"":[{""aspect"":""feedback_quality"",""sentiment"
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_559,,"{""aspects"":[{""aspect"":""clarity"",""sent"
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_579,,"{""aspects"":[{""aspect"":""materials"",""sentiment"":""neutral""},{""aspect"
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_632,,"{""aspects"":[{""aspect"":""clarity"
openai-gpt-5.4-zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,gpt-5_4__zero-shot-glossary__test_636,,"{""aspects"":[{""aspect"":""clarity"",""sentiment"":""negative""},{""aspect"":""support"",""sentiment"":""negative""},{""aspect"":""lecturer_quality"",""sentiment"
